Country Name,ISO,Indicator Name,Indicator Code,Value
Haiti,HTI,"Population, total",SP.POP.TOTL,11584996
Hungary,HUN,"Population, total",SP.POP.TOTL,9643048
IBRD only,IBD,"Population, total",SP.POP.TOTL,4913887020
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6754029970
IDA total,IDA,"Population, total",SP.POP.TOTL,1840142950
IDA blend,IDB,"Population, total",SP.POP.TOTL,607735968
Indonesia,IDN,"Population, total",SP.POP.TOTL,275501339
IDA only,IDX,"Population, total",SP.POP.TOTL,1232406982
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84519
India,IND,"Population, total",SP.POP.TOTL,1417173173
Not classified,INX,"Population, total",SP.POP.TOTL,
Ireland,IRL,"Population, total",SP.POP.TOTL,5127170
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,88550570
Iraq,IRQ,"Population, total",SP.POP.TOTL,44496122
Iceland,ISL,"Population, total",SP.POP.TOTL,382003
Israel,ISR,"Population, total",SP.POP.TOTL,9557500
Italy,ITA,"Population, total",SP.POP.TOTL,58940425
Jamaica,JAM,"Population, total",SP.POP.TOTL,2827377
Jordan,JOR,"Population, total",SP.POP.TOTL,11285869
Japan,JPN,"Population, total",SP.POP.TOTL,125124989
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19621972
Kenya,KEN,"Population, total",SP.POP.TOTL,54027487
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6974900
Cambodia,KHM,"Population, total",SP.POP.TOTL,16767842
Kiribati,KIR,"Population, total",SP.POP.TOTL,131232
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47657
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51628117
Kuwait,KWT,"Population, total",SP.POP.TOTL,4268873
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,596596955
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7529475
Lebanon,LBN,"Population, total",SP.POP.TOTL,5489739
Liberia,LBR,"Population, total",SP.POP.TOTL,5302681
Libya,LBY,"Population, total",SP.POP.TOTL,6812341
St. Lucia,LCA,"Population, total",SP.POP.TOTL,179857
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,659310564
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1125179454
Low income,LIC,"Population, total",SP.POP.TOTL,703727949
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,39327
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,22181000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3190184199
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6678280291
Lesotho,LSO,"Population, total",SP.POP.TOTL,2305825
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2325542891
Lithuania,LTU,"Population, total",SP.POP.TOTL,2831639
Luxembourg,LUX,"Population, total",SP.POP.TOTL,653103
Latvia,LVA,"Population, total",SP.POP.TOTL,1879383
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,695168
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31791
Morocco,MAR,"Population, total",SP.POP.TOTL,37457971
